DEPT,GR,Helper
309.0672,22.76327,1
309.2196,22.14344,1
309.372,20.88344,1
309.5244,21.07119,1
309.6768,20.86201,1
309.8292,19.89772,1
309.9816,20.01295,1
310.134,20.30777,1
310.2864,19.77561,1
310.4388,19.96006,1
310.5912,19.42758,1
310.7436,18.05858,1
310.896,16.70367,1
311.0484,14.58898,1
311.2008,15.47366,1
311.3532,16.50867,1
311.5056,17.22068,1
311.658,17.43927,1
311.8104,16.9954,1
311.9628,16.74619,1
312.1152,17.11757,1
312.2676,18.24938,1
312.42,19.52011,1
312.5724,21.15517,1
312.7248,22.54826,1
312.8772,23.47137,1
313.0296,23.6366,1
313.182,22.7675,1
313.3344,22.88676,1
313.4868,22.53174,1
313.6392,23.47749,1
313.7916,23.04311,1
313.944,22.90076,1
314.0964,22.81216,1
314.2488,21.87876,1
314.4012,21.37761,1
314.5536,22.72615,1
314.706,23.61214,1
314.8584,22.81783,1
315.0108,21.52861,1
315.1632,21.69681,1
315.3156,22.10667,1
315.468,21.45142,1
315.6204,19.65654,1
315.7728,17.45788,1
315.9252,16.34048,1
316.0776,16.4604,1
316.23,16.65288,1
316.3824,15.96533,1
316.5348,15.63972,1
316.6872,16.10893,1
316.8396,17.32642,1
316.992,18.17264,1
317.1444,18.39537,1
317.2968,17.9755,1
317.4492,17.77852,1
317.6016,18.18318,1
