DEPTH_WMSF,HSGR,Helper
116.2812,24.3561,1
116.4336,25.1474,1
116.586,25.51,1
116.7384,25.8551,1
116.8908,25.4337,1
117.0432,25.974,1
117.1956,25.1914,1
117.348,25.616,1
117.5004,26.1755,1
117.6528,27.7486,1
117.8052,26.8634,1
117.9576,27.0838,1
118.11,26.1921,1
118.2624,26.7026,1
118.4148,26.7823,1
118.5672,28.3443,1
118.7196,28.1932,1
118.872,27.6888,1
119.0244,24.8068,1
119.1768,25.3944,1
119.3292,23.6266,1
119.4816,24.2711,1
119.634,25.1915,1
119.7864,26.3819,1
119.9388,26.6962,1
120.0912,27.2349,1
120.2436,27.1338,1
120.396,25.9725,1
120.5484,22.9255,1
120.7008,22.9755,1
120.8532,24.2177,1
121.0056,25.1685,1
121.158,25.9505,1
121.3104,25.233,1
121.4628,24.132,1
121.6152,21.6842,1
121.7676,20.3252,1
121.92,19.8091,1
122.0724,21.6327,1
122.2248,21.9473,1
122.3772,22.0487,1
122.5296,20.1109,1
122.682,21.5791,1
122.8344,23.3613,1
122.9868,23.9984,1
123.1392,25.9406,1
123.2916,25.6164,1
123.444,25.8762,1
123.5964,24.3362,1
123.7488,22.8238,1
123.9012,23.1822,1
124.0536,22.4678,1
124.206,24.0906,1
124.3584,23.8312,1
124.5108,24.1331,1
124.6632,25.534,1
124.8156,25.5823,1
124.968,26.0103,1
125.1204,23.2425,1
125.2728,22.3476,1
125.4252,19.7739,1
125.5776,20.1565,1
125.73,21.3628,1
125.8824,22.3674,1
126.0348,23.7662,1
126.1872,24.0882,1
126.3396,25.1341,1
126.492,23.6667,1
126.6444,23.0483,1
126.7968,22.4816,1
126.9492,22.0607,1
127.1016,21.896,1
127.254,21.8337,1
127.4064,22.4167,1
127.5588,21.8346,1
127.7112,21.7184,1
127.8636,21.5074,1
128.016,22.2005,1
128.1684,22.896,1
128.3208,23.7245,1
128.4732,22.2108,1
128.6256,22.5247,1
128.778,21.7474,1
128.9304,23.0592,1
129.0828,23.9012,1
129.2352,25.2576,1
129.3876,26.178,1
129.54,24.5369,1
129.6924,24.1751,1
129.8448,23.5462,1
129.9972,23.0222,1
130.1496,21.8241,1
130.302,20.5252,1
130.4544,21.7788,1
130.6068,22.7824,1
130.7592,25.0762,1
130.9116,26.2429,1
131.064,26.9131,1
131.2164,27.1301,1
131.3688,26.4934,1
131.5212,23.1366,1
131.6736,23.0882,1
131.826,22.0527,1
131.9784,24.9816,1
132.1308,23.4669,1
132.2832,24.4123,1
132.4356,25.4729,1
132.588,28.1345,1
132.7404,28.4808,1
132.8928,27.2185,1
133.0452,25.2131,1
133.1976,25.4281,1
133.35,26.3786,1
133.5024,25.9706,1
133.6548,24.9952,1
133.8072,23.8838,1
133.9596,25.2524,1
134.112,24.9313,1
134.2644,25.0735,1
134.4168,24.9154,1
134.5692,26.5381,1
134.7216,26.5544,1
134.874,26.4695,1
135.0264,25.3557,1
135.1788,25.2991,1
135.3312,23.5668,1
135.4836,23.6171,1
135.636,25.9324,1
135.7884,27.8648,1
135.9408,28.1411,1
136.0932,26.5103,1
136.2456,26.234,1
136.398,25.8058,1
136.5504,24.7257,1
136.7028,24.7481,1
136.8552,28.0961,1
137.0076,28.6455,1
137.16,29.6169,1
137.3124,27.7422,1
